"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","CPNCU","Current prices in NCU","2000","2000","AUD","Australian Dollar","0","Units",,,47222.7154502425,,
"AUS","Australia","CPNCU","Current prices in NCU","2001","2001","AUD","Australian Dollar","0","Units",,,48366.6284966703,,
"AUS","Australia","CPNCU","Current prices in NCU","2002","2002","AUD","Australian Dollar","0","Units",,,50109.1375618934,,
"AUS","Australia","CPNCU","Current prices in NCU","2003","2003","AUD","Australian Dollar","0","Units",,,51867.99993846,,
"AUS","Australia","CPNCU","Current prices in NCU","2004","2004","AUD","Australian Dollar","0","Units",,,54283.6697773947,,
"AUS","Australia","CPNCU","Current prices in NCU","2005","2005","AUD","Australian Dollar","0","Units",,,56174.4048614667,,
"AUS","Australia","CPNCU","Current prices in NCU","2006","2006","AUD","Australian Dollar","0","Units",,,58577.0291750701,,
"AUS","Australia","CPNCU","Current prices in NCU","2007","2007","AUD","Australian Dollar","0","Units",,,62067.9555733317,,
"AUS","Australia","CPNCU","Current prices in NCU","2008","2008","AUD","Australian Dollar","0","Units",,,64554.5351929294,,
"AUS","Australia","CPNCU","Current prices in NCU","2009","2009","AUD","Australian Dollar","0","Units",,,65621.764713372,,
"AUS","Australia","CPNCU","Current prices in NCU","2010","2010","AUD","Australian Dollar","0","Units",,,69386.4967308382,,
"AUS","Australia","CPNCU","Current prices in NCU","2011","2011","AUD","Australian Dollar","0","Units",,,73284.7126254162,,
"AUS","Australia","CPNCU","Current prices in NCU","2012","2012","AUD","Australian Dollar","0","Units",,,75467.7291597054,,
"AUS","Australia","CPNCU","Current prices in NCU","2013","2013","AUD","Australian Dollar","0","Units",,,76898.549598151,,
"AUS","Australia","CPNCU","Current prices in NCU","2014","2014","AUD","Australian Dollar","0","Units",,,78929.8624578423,,
"AUS","Australia","CPNCU","Current prices in NCU","2015","2015","AUD","Australian Dollar","0","Units",,,79439.7002187052,,
"AUS","Australia","CPNCU","Current prices in NCU","2016","2016","AUD","Australian Dollar","0","Units",,,80203.8507219043,,
"AUS","Australia","CPNCU","Current prices in NCU","2017","2017","AUD","Australian Dollar","0","Units",,,80407.4484520243,,
"AUT","Austria","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,27950.1033124423,,
"AUT","Austria","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,28525.4805992846,,
"AUT","Austria","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,29266.4457366104,,
"AUT","Austria","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,29792.4704985199,,
"AUT","Austria","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,30888.2099941067,,
"AUT","Austria","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,31795.4300633835,,
"AUT","Austria","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,32930.8277467851,,
"AUT","Austria","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,33918.3865099765,,
"AUT","Austria","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,35239.1768668486,,
"AUT","Austria","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,35974.8135154347,,
"AUT","Austria","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,36436.8312094204,,
"AUT","Austria","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,37176.4166072694,,
"AUT","Austria","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,38262.7407027417,,
"AUT","Austria","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,39131.4552177672,,
"AUT","Austria","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,40072.8725079911,,
"AUT","Austria","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,40970.5973760264,,
"AUT","Austria","CPNCU","Current prices in NCU","2016","2016","EUR","Euro","0","Units",,,41990.6755153213,,
"AUT","Austria","CPNCU","Current prices in NCU","2017","2017","EUR","Euro","0","Units",,,42852.1744216898,,
"BEL","Belgium","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,31071.5640767801,,
"BEL","Belgium","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,31885.8633742836,,
"BEL","Belgium","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,32873.2950915639,,
"BEL","Belgium","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,33524.0258942187,,
"BEL","Belgium","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,34165.4415243235,,
"BEL","Belgium","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,34871.86782413,,
"BEL","Belgium","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,36103.9417380379,,
"BEL","Belgium","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,36973.0069936023,,
"BEL","Belgium","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,38267.7756215175,,
"BEL","Belgium","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,38438.0793467674,,
"BEL","Belgium","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,38877.6481495229,,
"BEL","Belgium","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,40408.2898603077,,
"BEL","Belgium","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,41498.6930081151,,
"BEL","Belgium","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,42392.3443556277,,
"BEL","Belgium","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,42837.6099399622,,
"BEL","Belgium","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,42797.6682991494,,
"BEL","Belgium","CPNCU","Current prices in NCU","2016","2016","EUR","Euro","0","Units",,,43253.024812094,,
"BEL","Belgium","CPNCU","Current prices in NCU","2017","2017","EUR","Euro","0","Units",,,43840.1428072323,,
"CAN","Canada","CPNCU","Current prices in NCU","2000","2000","CAD","Canadian Dollar","0","Units",,,40985.3733728736,,
"CAN","Canada","CPNCU","Current prices in NCU","2001","2001","CAD","Canadian Dollar","0","Units",,,41667.2385561752,,
"CAN","Canada","CPNCU","Current prices in NCU","2002","2002","CAD","Canadian Dollar","0","Units",,,42029.1436855546,,
"CAN","Canada","CPNCU","Current prices in NCU","2003","2003","CAD","Canadian Dollar","0","Units",,,42745.3483804715,,
"CAN","Canada","CPNCU","Current prices in NCU","2004","2004","CAD","Canadian Dollar","0","Units",,,44565.5779085385,,
"CAN","Canada","CPNCU","Current prices in NCU","2005","2005","CAD","Canadian Dollar","0","Units",,,47250.4832972656,,
"CAN","Canada","CPNCU","Current prices in NCU","2006","2006","CAD","Canadian Dollar","0","Units",,,49387.020750184,,
"CAN","Canada","CPNCU","Current prices in NCU","2007","2007","CAD","Canadian Dollar","0","Units",,,51387.3620183038,,
"CAN","Canada","CPNCU","Current prices in NCU","2008","2008","CAD","Canadian Dollar","0","Units",,,53147.5035865858,,
"CAN","Canada","CPNCU","Current prices in NCU","2009","2009","CAD","Canadian Dollar","0","Units",,,53823.5991512645,,
"CAN","Canada","CPNCU","Current prices in NCU","2010","2010","CAD","Canadian Dollar","0","Units",,,54788.2532445889,,
"CAN","Canada","CPNCU","Current prices in NCU","2011","2011","CAD","Canadian Dollar","0","Units",,,56808.8573365678,,
"CAN","Canada","CPNCU","Current prices in NCU","2012","2012","CAD","Canadian Dollar","0","Units",,,58881.3264802873,,
"CAN","Canada","CPNCU","Current prices in NCU","2013","2013","CAD","Canadian Dollar","0","Units",,,60821.0316750777,,
"CAN","Canada","CPNCU","Current prices in NCU","2014","2014","CAD","Canadian Dollar","0","Units",,,62667.215423791,,
"CAN","Canada","CPNCU","Current prices in NCU","2015","2015","CAD","Canadian Dollar","0","Units",,,63642.4821200934,,
"CAN","Canada","CPNCU","Current prices in NCU","2016","2016","CAD","Canadian Dollar","0","Units",,,63876.8603049198,,
