"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","TOT","PC_LF","A","2013",5.663056,
"AUS","UNEMP","TOT","PC_LF","A","2014",6.078837,
"AUS","UNEMP","TOT","PC_LF","A","2015",6.057946,
"AUS","UNEMP","TOT","PC_LF","A","2016",5.71113,
"AUS","UNEMP","TOT","PC_LF","A","2017",5.596426,
"AUT","UNEMP","TOT","PC_LF","A","2013",5.336031,
"AUT","UNEMP","TOT","PC_LF","A","2014",5.621219,
"AUT","UNEMP","TOT","PC_LF","A","2015",5.723468,
"AUT","UNEMP","TOT","PC_LF","A","2016",6.014071,
"AUT","UNEMP","TOT","PC_LF","A","2017",5.500528,
"BEL","UNEMP","TOT","PC_LF","A","2013",8.425185,
"BEL","UNEMP","TOT","PC_LF","A","2014",8.52289,
"BEL","UNEMP","TOT","PC_LF","A","2015",8.481071,
"BEL","UNEMP","TOT","PC_LF","A","2016",7.833329,"B"
"BEL","UNEMP","TOT","PC_LF","A","2017",7.088736,
"CAN","UNEMP","TOT","PC_LF","A","2013",7.083333,
"CAN","UNEMP","TOT","PC_LF","A","2014",6.908333,
"CAN","UNEMP","TOT","PC_LF","A","2015",6.908333,
"CAN","UNEMP","TOT","PC_LF","A","2016",6.991667,
"CAN","UNEMP","TOT","PC_LF","A","2017",6.341667,
"CZE","UNEMP","TOT","PC_LF","A","2013",6.953799,
"CZE","UNEMP","TOT","PC_LF","A","2014",6.109115,
"CZE","UNEMP","TOT","PC_LF","A","2015",5.046221,
"CZE","UNEMP","TOT","PC_LF","A","2016",3.952049,
"CZE","UNEMP","TOT","PC_LF","A","2017",2.890817,
"DNK","UNEMP","TOT","PC_LF","A","2013",6.995368,
"DNK","UNEMP","TOT","PC_LF","A","2014",6.59281,
"DNK","UNEMP","TOT","PC_LF","A","2015",6.169618,"B"
"DNK","UNEMP","TOT","PC_LF","A","2016",6.180843,"B"
"DNK","UNEMP","TOT","PC_LF","A","2017",5.743293,
"FIN","UNEMP","TOT","PC_LF","A","2013",8.186392,
"FIN","UNEMP","TOT","PC_LF","A","2014",8.657802,
"FIN","UNEMP","TOT","PC_LF","A","2015",9.367311,
