,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck,FamilySize,Title
0,0,3,0,22.0,1,0,7.25,2,Unknown,2,2
1,1,1,1,38.0,1,0,71.2833,0,C,2,3
2,1,3,1,26.0,0,0,7.925,2,Unknown,1,1
3,1,1,1,35.0,1,0,53.1,2,C,2,3
4,0,3,0,35.0,0,0,8.05,2,Unknown,1,2
5,0,3,0,32.368090452261306,0,0,8.4583,1,Unknown,1,2
6,0,1,0,54.0,0,0,51.8625,2,E,1,2
7,0,3,0,2.0,3,1,21.075,2,Unknown,5,0
8,1,3,1,27.0,0,2,11.1333,2,Unknown,3,3
9,1,2,1,14.0,1,0,30.0708,0,Unknown,2,3
10,1,3,1,4.0,1,1,16.7,2,G,3,1
11,1,1,1,58.0,0,0,26.55,2,C,1,1
12,0,3,0,20.0,0,0,8.05,2,Unknown,1,2
13,0,3,0,39.0,1,5,31.275,2,Unknown,7,2
14,0,3,1,14.0,0,0,7.8542,2,Unknown,1,1
15,1,2,1,55.0,0,0,16.0,2,Unknown,1,3
16,0,3,0,2.0,4,1,29.125,1,Unknown,6,0
17,1,2,0,32.368090452261306,0,0,13.0,2,Unknown,1,2
18,0,3,1,31.0,1,0,18.0,2,Unknown,2,3
19,1,3,1,35.788990825688074,0,0,7.225,0,Unknown,1,3
20,0,2,0,35.0,0,0,26.0,2,Unknown,1,2
21,1,2,0,34.0,0,0,13.0,2,D,1,2
22,1,3,1,15.0,0,0,8.0292,1,Unknown,1,1
23,1,1,0,28.0,0,0,35.5,2,A,1,2
24,0,3,1,8.0,3,1,21.075,2,Unknown,5,1
25,1,3,1,38.0,1,5,31.3875,2,Unknown,7,3
26,0,3,0,32.368090452261306,0,0,7.225,0,Unknown,1,2
27,0,1,0,19.0,3,2,263.0,2,C,6,2
28,1,3,1,21.845637583892618,0,0,7.8792,1,Unknown,1,1
29,0,3,0,32.368090452261306,0,0,7.8958,2,Unknown,1,2
30,0,1,0,40.0,0,0,27.7208,0,Unknown,1,4
31,1,1,1,35.788990825688074,1,0,146.5208,0,B,2,3
32,1,3,1,21.845637583892618,0,0,7.75,1,Unknown,1,1
33,0,2,0,66.0,0,0,10.5,2,Unknown,1,2
34,0,1,0,28.0,1,0,82.1708,0,Unknown,2,2
35,0,1,0,42.0,1,0,52.0,2,Unknown,2,2
36,1,3,0,32.368090452261306,0,0,7.2292,0,Unknown,1,2
37,0,3,0,21.0,0,0,8.05,2,Unknown,1,2
38,0,3,1,18.0,2,0,18.0,2,Unknown,3,1
39,1,3,1,14.0,1,0,11.2417,0,Unknown,2,1
40,0,3,1,40.0,1,0,9.475,2,Unknown,2,3
41,0,2,1,27.0,1,0,21.0,2,Unknown,2,3
42,0,3,0,32.368090452261306,0,0,7.8958,0,Unknown,1,2
43,1,2,1,3.0,1,2,41.5792,0,Unknown,4,1
44,1,3,1,19.0,0,0,7.8792,1,Unknown,1,1
45,0,3,0,32.368090452261306,0,0,8.05,2,Unknown,1,2
46,0,3,0,32.368090452261306,1,0,15.5,1,Unknown,2,2
47,1,3,1,21.845637583892618,0,0,7.75,1,Unknown,1,1
48,0,3,0,32.368090452261306,2,0,21.6792,0,Unknown,3,2
49,0,3,1,18.0,1,0,17.8,2,Unknown,2,3
50,0,3,0,7.0,4,1,39.6875,2,Unknown,6,0
51,0,3,0,21.0,0,0,7.8,2,Unknown,1,2
52,1,1,1,49.0,1,0,76.7292,0,D,2,3
53,1,2,1,29.0,1,0,26.0,2,Unknown,2,3
54,0,1,0,65.0,0,1,61.9792,0,B,2,2
55,1,1,0,32.368090452261306,0,0,35.5,2,C,1,2
56,1,2,1,21.0,0,0,10.5,2,Unknown,1,1
57,0,3,0,28.5,0,0,7.2292,0,Unknown,1,2
58,1,2,1,5.0,1,2,27.75,2,Unknown,4,1
59,0,3,0,11.0,5,2,46.9,2,Unknown,8,0
60,0,3,0,22.0,0,0,7.2292,0,Unknown,1,2
61,1,1,1,38.0,0,0,80.0,2,B,1,1
62,0,1,0,45.0,1,0,83.475,2,C,2,2
63,0,3,0,4.0,3,2,27.9,2,Unknown,6,0
64,0,1,0,32.368090452261306,0,0,27.7208,0,Unknown,1,2
65,1,3,0,4.574166666666667,1,1,15.2458,0,Unknown,3,0
66,1,2,1,29.0,0,0,10.5,2,F,1,3
67,0,3,0,19.0,0,0,8.1583,2,Unknown,1,2
68,1,3,1,17.0,4,2,7.925,2,Unknown,7,1
69,0,3,0,26.0,2,0,8.6625,2,Unknown,3,2
70,0,2,0,32.0,0,0,10.5,2,Unknown,1,2
71,0,3,1,16.0,5,2,46.9,2,Unknown,8,1
72,0,2,0,21.0,0,0,73.5,2,Unknown,1,2
73,0,3,0,26.0,1,0,14.4542,0,Unknown,2,2
74,1,3,0,32.0,0,0,56.4958,2,Unknown,1,2
75,0,3,0,25.0,0,0,7.65,2,F,1,2
76,0,3,0,32.368090452261306,0,0,7.8958,2,Unknown,1,2
77,0,3,0,32.368090452261306,0,0,8.05,2,Unknown,1,2
78,1,2,0,0.83,0,2,29.0,2,Unknown,3,0
79,1,3,1,30.0,0,0,12.475,2,Unknown,1,1
80,0,3,0,22.0,0,0,9.0,2,Unknown,1,2
81,1,3,0,29.0,0,0,9.5,2,Unknown,1,2
82,1,3,1,21.845637583892618,0,0,7.7875,1,Unknown,1,1
83,0,1,0,28.0,0,0,47.1,2,Unknown,1,2
84,1,2,1,17.0,0,0,10.5,2,Unknown,1,1
85,1,3,1,33.0,3,0,15.85,2,Unknown,4,3
