Country Code,Male Suicide Rate,Female Suicide Rate,Combined Suicide Rate
AFG,10.6,2.1,6.4
AGO,14.0,4.6,8.9
ALB,7.0,4.3,5.6
ARE,3.5,0.8,2.7
ARG,15.0,3.5,9.1
ARM,10.1,2.0,5.7
ATG,0.0,0.9,8.44795
AUS,17.4,6.0,11.7
AUT,17.5,5.7,11.4
AZE,4.3,1.0,2.6
BDI,23.1,7.7,15.0
BEL,22.2,9.4,15.7
BEN,22.6,9.6,15.7
BFA,22.4,9.1,14.8
BGD,5.5,6.7,6.1
BGR,13.1,3.2,7.9
BHR,7.9,2.1,5.7
BHS,2.8,0.5,1.6
BIH,10.6,2.5,6.4
BLR,39.3,6.2,21.4
BLZ,9.9,2.0,5.9
BOL,16.9,8.9,12.9
BRA,9.7,2.8,6.1
BRB,0.8,0.3,0.4
BRN,6.2,2.8,4.5
BTN,13.8,8.9,11.6
BWA,18.3,5.7,11.5
CAF,18.0,6.0,11.6
CAN,15.1,5.8,10.4
CHE,15.8,6.9,11.3
CHL,16.0,3.8,9.7
CHN,7.9,8.3,8.0
CIV,32.0,13.0,23.0
CMR,26.9,12.5,19.5
COD,15.0,4.9,9.7
COG,13.9,5.0,9.3
COL,11.5,2.8,7.0
COM,17.6,5.4,11.1
CPV,24.1,7.7,15.1
CRI,12.8,2.3,7.5
CUB,16.4,4.1,10.1
CYP,7.2,1.9,4.5
CZE,17.2,4.2,10.5
DEU,13.6,4.8,9.1
DJI,11.9,5.3,8.5
DNK,13.2,5.2,9.2
DOM,17.9,3.2,10.5
DZA,4.9,1.8,3.3
ECU,10.7,3.8,7.2
EGY,7.2,1.7,4.4
ERI,22.4,6.1,13.8
ESP,9.3,3.1,6.1
EST,25.6,4.4,14.4
ETH,18.7,4.7,11.4
FIN,20.8,6.8,13.8
FJI,8.8,2.5,5.5
FRA,17.9,6.5,12.1
FSM,16.2,6.2,11.3
GAB,15.0,4.3,9.6
GBR,11.9,3.5,7.6
GEO,12.3,1.9,6.7
GHA,15.8,2.9,8.7
GIN,12.7,8.4,10.5
GMB,12.8,7.3,10.0
GNB,8.9,6.1,7.4
GNQ,31.3,10.8,22.0
GRC,6.1,1.5,3.8
GRD,2.1,1.0,1.7
GTM,4.4,1.7,2.9
GUY,46.6,14.2,30.2
HND,5.3,1.7,3.4
HRV,18.8,5.1,11.5
HTI,18.3,6.4,12.2
HUN,22.2,6.2,13.6
IDN,5.2,2.2,3.7
IND,18.5,14.5,16.5
IRL,17.6,4.2,10.9
IRN,4.9,3.1,4.0
IRQ,4.7,3.4,4.1
ISL,21.7,4.7,13.3
ISR,8.2,2.4,5.2
ITA,8.4,2.6,5.5
JAM,3.2,0.9,2.0
JOR,4.7,2.7,3.7
JPN,20.5,8.1,14.3
KAZ,40.1,7.7,22.8
KEN,9.7,2.1,5.6
