Product Name,unit,Product Price
Chicken Eggs (Layer),12 pcs,115
Miniket Rice Standard,25 kg,"1,319"
Nazirshail Rice Premium,25 kg,"1,699"
Miniket Rice Premium,25 kg,"1,659"
Basmati Rice,25 kg,"1,899"
Beef Bone In ± 50 gm,1 kg,629
Surf Excel Washing Powder,1 kg,210
Jhatpot Plain Paratha (Free Low Fat Paratha 10 pcs) 1600 gm,20 pcs,330
Jhatpot Deshi Paratha (Free Low Fat Paratha 10 pcs) 1300 gm,20 pcs,280
Deshi Peyaj (Local Onion) ± 50 gm,1 kg,65
ACI Pure Salt,1 kg,32
Chinigura Rice,1 kg,99
Fresh Refined Sugar,1 kg,85
Vim Dishwashing Bar,300 gm,35
Boro Alu (Big Diamond Potato) ± 50 gm,1 kg,19
Bashundhara Toilet Tissue,4 pcs,68
Aarong Dairy Pasteurized Full Cream Liquid Milk,1 ltr,75
Wheel Washing Powder 2 in 1 Clean & Fresh,1 kg,105
Broiler Chicken Skin Off ± 50 gm,1 kg,259
Cheese Puff,each,10
Wheel Washing Laundry Bar,125 gm,22
Moshur Dal (Deshi),1 kg,125
Teer Flour (Atta),2 kg,92
Bombay Sweets Potato Crackers,22 gm,10
Ada (Imported Ginger) ± 25 gm,500 gm,59
Haque Mr. Cookie Biscuit,50 gm,10
Mug Dal,500 gm,65
Guava Premium (± 50 gm),1 kg,70
Diploma Full Cream Milk Powder,500 gm,365
Ispahani Mirzapore Best Leaf Tea,400 gm,190
Cumin (Jira),100 gm,50
Aarong Dairy Sour Yogurt,500 gm,90
White Bread,500 gm,90
Roast Chicken ± 10 gm,275 gm,169
Malta ± 50 gm,1 kg,179
Bangas Grand Choice Salted Biscuit,100 gm,20
Arla Dano Daily Pusti Milk Powder,500 gm,285
Fresh Super Premium (Vacuum) Salt,1 kg,35
Olympic Premium Energy Plus Biscuit,80 gm,15
Teer Sugar,1 kg,85
"Bashundhara Paper Napkins 13"" Unscented",100 pcs,60
Pran UHT Milk,1 ltr,90
Cinnamon (Daruchini) Whole,100 gm,49
Aarong Dairy Butter,200 gm,200
Brooke Bond Taaza Black Tea,400 gm,199
Golden Harvest Deshi Paratha 1300 gm,20 pcs,250
Teer White Flour (Maida),2 kg,125
Cardamom (Elachi) Whole,50 gm,129
Dalim (Pomegranate),2 pcs,179
Danish Condensed Filled Milk,397 gm,75
