Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Tot Cases/ 1M pop,Deaths/1M pop,Total Tests,Tests/1M pop
USA,"83,581,715",,"1,024,546 ",,"80,944,857",,"1,612,312","1,698","249,806","3,062"
India,"43,105,401",,"524,093 ",,"42,560,905",,"20,403",698,"30,679",373
Brazil,"30,564,536",,"664,189 ",,"29,629,420",,"270,927","8,318","141,930","3,084"
France,"28,957,421",,"146,724 ",,"27,644,110",,"1,166,587","1,408","441,827","2,239"
Germany,"25,345,357",,"136,925 ",,"23,373,200","+126,300","1,835,232","1,279","300,733","1,625"
UK,"22,114,034",,"176,212 ",,"21,524,362","+37,303","413,460",253,"322,624","2,571"
Russia,"18,232,696","+5,030","377,049 ",+103,"17,609,357","+5,959","246,290","2,300","124,839","2,582"
S. Korea,"17,564,999","+20,601","23,400 ",+40,N/A,N/A,N/A,421,"342,060",456
Italy,"16,798,998",,"164,489 ",,"15,471,992",,"1,162,517",356,"278,601","2,728"
Turkey,"15,043,379",,"98,846 ",,"14,941,419",,"3,114",975,"174,894","1,149"
Spain,"12,009,059",,"104,869 ",,"11,467,015",,"437,175",339,"256,669","2,241"
Vietnam,"10,678,359","+2,175","43,057 ",+1,"9,322,165","+1,574","1,313,137",449,"107,911",435
Argentina,"9,083,673",,"128,653 ",,"8,895,999",,"59,021",372,"197,637","2,799"
Japan,"8,099,533","+40,942","29,813 ",+28,"7,747,676","+30,792","322,044",163,"64,404",237
Netherlands,"8,057,700",,"22,270 ",,"7,949,585","+10,903","85,845",52,"468,339","1,294"
Iran,"7,225,759",+570,"141,189 ",+12,"7,008,231","+2,811","76,339",854,"84,042","1,642"
Australia,"6,286,876","+37,775","7,516 ",+3,"5,905,984",,"373,376",129,"241,375",289
Colombia,"6,093,645",,"139,809 ",,"5,927,076",,"26,760",342,"117,447","2,695"
Indonesia,"6,048,685",+254,"156,396 ",+15,"5,886,211",+353,"6,078","2,771","21,691",561
Poland,"6,000,600",+184,"116,138 ",,"5,334,940",+14,"549,522","1,125","158,872","3,075"
Mexico,"5,740,080",,"324,350 ",,"5,039,624",,"376,106","4,798","43,673","2,468"
Ukraine,"5,002,870",,"108,411 ",,N/A,N/A,N/A,177,"115,676","2,507"
Malaysia,"4,458,889",,"35,583 ",,"4,400,750",,"22,556",88,"134,582","1,074"
Thailand,"4,331,338","+6,488","29,146 ",+55,"4,217,238","+12,755","84,954","1,496","61,767",416
Austria,"4,185,678","+4,133","18,249 ",+4,"4,100,958","+5,448","66,471",83,"459,901","2,005"
Israel,"4,092,054",,"10,741 ",,"4,052,605",,"28,708",150,"438,779","1,152"
Belgium,"4,088,336",,"31,552 ",,"3,891,391","+7,211","165,393",124,"349,947","2,701"
Portugal,"3,935,932",,"22,420 ",,N/A,N/A,N/A,61,"388,089","2,211"
Czechia,"3,912,487",+126,"40,220 ",+2,"3,864,785","+1,377","7,482",14,"364,099","3,743"
South Africa,"3,841,388",,"100,523 ",,"3,679,053",,"61,812",192,"63,296","1,656"
Canada,"3,791,455",,"39,750 ",,"3,482,186",,"269,519",468,"98,857","1,036"
Philippines,"3,687,197",+182,"60,439 ",,"3,622,852",+379,"3,906",289,"32,841",538
Switzerland,"3,619,035",,"13,865 ",,"3,520,963","+6,138","84,207",69,"412,592","1,581"
Chile,"3,579,349",,"57,637 ",,"3,447,146",,"74,566",176,"184,321","2,968"
Peru,"3,569,782",,"212,946 ",,N/A,N/A,N/A,263,"105,553","6,297"
Greece,"3,361,779",,"29,392 ",,"3,261,526",,"70,861",204,"325,467","2,846"
Denmark,"2,972,729",+543,"6,244 ",+6,"2,954,644","+1,838","11,841",6,"509,915","1,071"
Romania,"2,899,563",+385,"65,566 ",+4,"2,606,660",,"227,337",157,"152,602","3,451"
Sweden,"2,503,090",,"18,791 ",,"2,474,725",+627,"9,574",16,"245,028","1,839"
Iraq,"2,325,614",,"25,213 ",,"2,299,141",,"1,260",10,"55,520",602
Serbia,"2,009,979",,"16,028 ",,"1,982,752",,"11,199",20,"231,767","1,848"
Bangladesh,"1,952,829",+30,"29,127 ",,"1,897,798",+272,"25,904","1,273","11,644",174
Hungary,"1,903,200",,"46,266 ",,"1,808,061",,"48,873",40,"197,939","4,812"
Slovakia,"1,785,186",+53,"19,984 ",+6,"1,755,200",+360,"10,002",40,"326,686","3,657"
Jordan,"1,694,216",,"14,048 ",,"1,678,941",,"1,227",124,"163,060","1,352"
Georgia,"1,655,221",,"16,811 ",,"1,637,293",,"1,117",,"416,404","4,229"
Pakistan,"1,528,800",+64,"30,375 ",,"1,494,141",,"4,284",92,"6,682",133
Ireland,"1,522,363",,"7,131 ",,"1,482,778","+5,588","32,454",28,"302,080","1,415"
Norway,"1,428,010",,"3,006 ",,N/A,N/A,N/A,20,"259,662",547
Kazakhstan,"1,305,592",+8,"13,661 ",,"1,291,366",,565,24,"68,030",712
Singapore,"1,217,922",,"1,352 ",,"1,147,296",,"69,274",6,"205,200",228
Hong Kong,"1,206,585",,"9,346 ",,N/A,N/A,N/A,5,"158,568","1,228"
Morocco,"1,165,247",,"16,070 ",,"1,148,878",,299,293,"30,894",426
Bulgaria,"1,159,301",,"36,973 ",,"989,372",,"132,956",78,"169,194","5,396"
Croatia,"1,127,799",+57,"15,896 ",+8,"1,107,596",+759,"4,307",13,"277,883","3,917"
Cuba,"1,103,980",,"8,527 ",,"1,094,829",,624,23,"97,578",754
Lebanon,"1,097,539",,"10,399 ",,"1,083,698",,"3,442",186,"162,141","1,536"
Lithuania,"1,059,597",+16,"9,121 ",,"1,029,593",+222,"20,883",14,"399,515","3,439"
Finland,"1,052,767",,"4,150 ",,"46,000",,"1,002,617",21,"189,462",747
Tunisia,"1,040,712",,"28,566 ",,N/A,N/A,N/A,29,"86,388","2,371"
Slovenia,"1,015,982",+196,"6,613 ",+2,"998,277",+344,"11,092",23,"488,579","3,180"
New Zealand,"996,417","+6,471",812 ,+2,"942,606","+6,726","52,999",,"199,200",162
Belarus,"982,809",+155,"6,974 ",+2,"928,536",,"47,299",,"104,072",738
Nepal,"978,948",+6,"11,952 ",,"966,806",+17,190,,"32,519",397
Bolivia,"905,453",+25,"21,925 ",,"862,039",+354,"21,489",220,"75,663","1,832"
UAE,"900,484",+233,"2,302 ",,"884,512",+284,"13,670",,"89,060",228
Uruguay,"899,723",,"7,210 ",,"888,557",,"3,956",18,"257,361","2,062"
Ecuador,"870,526",,"35,598 ",,N/A,N/A,N/A,759,"47,996","1,963"
Costa Rica,"857,290",,"8,421 ",,"836,721",,"12,148",42,"165,500","1,626"
Guatemala,"849,495",,"17,699 ",,"829,500",,"2,296",5,"45,851",955
Latvia,"824,635",+589,"5,790 ",+1,"814,141","+1,897","4,704",9,"446,299","3,134"
Azerbaijan,"792,630",,"9,709 ",,"782,862",,59,,"76,895",942
Panama,"788,471",,"8,193 ",,"766,952",,"13,326",16,"177,578","1,845"
Saudi Arabia,"755,980",+565,"9,104 ",+1,"742,677",+114,"4,199",51,"21,108",254
Sri Lanka,"663,561",,"16,509 ",,"646,145",,907,,"30,750",765
Paraguay,"649,718",,"18,872 ",,"624,673",,"6,173",2,"89,072","2,587"
Kuwait,"631,898",,"2,555 ",,"628,946",,397,1,"144,034",582
Myanmar,"613,053",,"19,434 ",,"591,964",,"1,655",,"11,130",353
Palestine,"582,119",,"5,353 ",,"576,684",,82,17,"109,416","1,006"
Dominican Republic,"579,743",,"4,376 ",,"574,987",,380,1,"52,471",396
Bahrain,"572,810",,"1,477 ",,"567,065",,"4,268",1,"316,350",816
Estonia,"572,434",,"2,548 ",,"511,857",,"58,029",3,"430,991","1,918"
Venezuela,"522,749",,"5,709 ",,"515,907",,"1,133",230,"18,480",202
Moldova,"516,986",,"11,489 ",,"504,142",,"1,355",49,"128,711","2,860"
Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,869",232
Libya,"501,904",,"6,430 ",,"490,973",,"4,501",101,"71,255",913
Cyprus,"477,711",,"1,032 ",,"124,370",,"352,309",60,"390,419",843
Ethiopia,"470,740",,"7,510 ",,"455,729",,"7,501",4,"3,916",62
Mongolia,"469,885",,"2,179 ",,"313,256",,"154,450",192,"139,195",645
Honduras,"423,879",,"10,895 ",,"132,358",,"280,626",105,"41,576","1,069"
Armenia,"422,896",+19,"8,623 ",+1,"412,048",+22,"2,225",,"142,223","2,900"
Réunion,"398,115",,756 ,,"383,424",,"13,935",10,"438,884",833
Taiwan,"397,504","+40,304",931 ,+12,"36,786","+3,179","359,787",,"16,635",39
Oman,"389,306",+33,"4,259 ",,"384,509",+23,538,3,"72,818",797
